Season,Latitude,DELTA_crossing,area_albedo_cloud,area_albedo_cloud_check,area_albedo,Carbon_eq,Carbon_eq_cloud
4,18,0.060697529304828635,611705.186889383,556615.495290583,1014625.6193160028,0.0022627233420280395,0.0022627233420280395
4,19,0.07874174209984197,629925.0168399039,552994.3678342365,1021990.453574267,0.0022627233420280395,0.0022627233420280395
4,20,0.35108498823094436,619976.8929278303,268642.23328553885,1028299.1971234966,0.0022627233420280395,0.0022627233420280395
4,21,0.304793267601541,631819.6593464878,322651.4283647612,1035549.1523544096,0.0022627233420280395,0.0022627233420280395
4,22,-0.05666378007630435,668664.1095302573,737342.5510498136,1043077.5064542734,0.002451283620530376,0.002451283620530376
4,23,-0.02984905192584897,703978.2517739958,743269.6963561252,1051542.2511540996,0.002451283620530376,0.002451283620530376
4,24,-0.07360603170322655,727178.5278252104,827082.1609988045,1060935.6103743068,0.0026398438990327126,0.0026398438990327126
4,25,-0.10019066670229826,744160.0800330819,882502.1480505727,1070594.6342157656,0.0026398438990327126,0.0026398438990327126
4,26,-0.048788312564783,762122.1039782627,830068.4235451445,1079861.5317651103,0.0028284041775350492,0.0028284041775350492
4,27,-0.09699399837352907,772203.5137063141,907380.1725740097,1090037.3297153923,0.0028284041775350492,0.0028284041775350492
4,28,0.016970391653103434,792758.5174508234,771156.4629480168,1101107.721235062,0.0028284041775350492,0.0028284041775350492
4,29,0.17160845642406208,791917.4588846577,573765.9680322688,1111767.065529771,0.0028284041775350492,0.0028284041775350492
4,30,0.29573665795279425,789123.3126372694,417728.04991081916,1123298.6321296617,0.0028284041775350492,0.0028284041775350492
4,31,0.5417657625244292,768555.3124780005,100604.05089243874,1134402.42910341,0.0028284041775350492,0.0028284041775350492
4,32,0.83416398486888,740531.4357067407,-262246.63495831564,1146349.2789121717,0.0026398438990327126,0.0026398438990327126
4,33,1.245999849685548,-736072.4069296055,-749136.2810230516,1158481.9961729052,-0.0026398438990327126,-0.0026398438990327126
4,34,1.833786391961958,-1351461.8585001137,-1359732.4975122195,1167728.9356244241,-0.004808287101809584,-0.004808287101809584
4,35,1.9486412327208793,-1390403.1050544425,-1405109.3056188952,1175331.8313292908,-0.00499684738031192,-0.00499684738031192
4,36,1.8648060788209815,-1283275.1796450787,-1297884.3278735206,1184262.5725900421,-0.004619726823307247,-0.004619726823307247
4,37,2.151859655068117,-1631703.1397631844,-1645389.78621714,1194489.819800469,-0.005845368633572435,-0.005845368633572435
4,38,1.9065956241596727,-1311444.136323622,-1327708.149097696,1203610.4187509008,-0.0047140069625584155,-0.0047140069625584155
4,39,1.7088426411574424,-1051611.6388058048,-1067660.7066030465,1213974.9073697922,-0.003771205570046732,-0.003771205570046732
